Model,K,Precision@K,Recall@K,NDCG@K,MAP@K,F1@K,ILD@K,Serendipity@K,Novelty@K,DOPM@K,LongTailCoverage@K,FAS_Fairness@K,GenreEntropy@K,ProducerFairness@K,GenreCoverage@K,CatalogCoverage@K
fasmoea,15,0.17210144927536233,0.25838202043828756,0.25603614507017836,0.13552075114370357,0.17055672344593625,0.3782608695652174,0.13797186813139298,0.1940314533523495,1.7903605923653192,0.03644927536231884,0.9370291372221031,2.145149206002194,0.20751988056508108,1.0,0.5838287752675386
fasmoea,20,0.15592391304347825,0.3082396280277503,0.2668621395406401,0.13427734475255218,0.1731344232389284,0.32331521739130425,0.14215804734433501,0.20108205479289706,1.756857187390611,0.03864130434782609,0.9452106338254737,2.261847315395467,0.20192925641782591,1.0,0.6153388822829964
fasmoea,25,0.14400000000000002,0.349445960246142,0.2779193517452758,0.1351678005516,0.17271356301535437,0.286608695652174,0.1454675276769558,0.20862048139885161,1.7196666417841842,0.042,0.952124811992398,2.3450075536575468,0.19708014389072737,1.0,0.6450653983353151
fasmoea,30,0.1328985507246377,0.3823281934017537,0.2877100167976316,0.13685051274279825,0.16886632647238653,0.2611231884057971,0.14890428735544295,0.21456320389092262,1.6888183904299512,0.04416666666666667,0.9593677364991672,2.415117938024957,0.1942151291033018,1.0,0.667063020214031
msrs,5,0.12956521739130436,0.055346523034601657,0.13260314643669452,0.0792663043478261,0.0656119421269771,0.6843478260869564,0.17128756464235026,0.20989133097800605,2.0344669112303984,0.010000000000000002,0.8961008829815361,1.6157906121323333,0.34115814230622604,1.0,0.37395957193816887
msrs,10,0.1223913043478261,0.10356175414454519,0.13964936509217576,0.06788955351665625,0.0932853601238077,0.5060869565217392,0.171707762684929,0.21029515488147357,2.0456147836326903,0.010543478260869566,0.9169749352864285,2.052493702510662,0.313978344316901,1.0,0.43162901307966706
msrs,15,0.121231884057971,0.15606282553002745,0.1543191015220738,0.06711641759675677,0.11327010863625539,0.41,0.17234873285096236,0.21119251540402537,2.0492592874784834,0.011014492753623187,0.9250737754560545,2.242615699811295,0.30188722948548347,1.0,0.45600475624256837
msrs,20,0.11978260869565217,0.20467371746365542,0.16993789311139657,0.06921275957765613,0.1269301047471038,0.3518478260869565,0.17310229365020283,0.2121102100748311,2.054874030065763,0.01190217391304348,0.9297657927621649,2.3702782190934966,0.29555596433534737,1.0,0.4797859690844233
msrs,25,0.1173913043478261,0.2503344961270354,0.18517326831202346,0.07207375558013178,0.13579688741031418,0.3085652173913043,0.1730875958142245,0.21213365413197222,2.059479758159622,0.011608695652173913,0.932769532378715,2.4475117401673847,0.2912316446994595,1.0,0.49167657550535077
msrs,30,0.1171376811594203,0.3040014510553932,0.20385862668919458,0.07673267181845071,0.14488566508859232,0.27605072463768116,0.1735718337191972,0.2127179148116847,2.062453947563426,0.01177536231884058,0.9347478506443471,2.5051274065604807,0.2879085646045332,1.0,0.5089179548156956
msrs_iv,5,0.07391304347826087,0.03375478216534363,0.07596417245914189,0.040424818840579704,0.03816724278079037,0.7434782608695653,0.15522993309152724,0.3065712130962046,1.6272147907851184,0.10652173913043478,0.8860646822295767,1.757853397992455,0.27071716594530976,1.0,0.5380499405469679
msrs_iv,10,0.07478260869565219,0.06717621208244323,0.08452726334028544,0.03518456095199755,0.05802240713987877,0.5768478260869566,0.15887966378410653,0.30394116335265214,1.6375437447776937,0.0982608695652174,0.9107480856811299,2.2874722238332628,0.2475317623725568,1.0,0.6028537455410226
msrs_iv,15,0.07268115942028987,0.09346022578213711,0.09177366661722554,0.03386465495808621,0.06798136594849388,0.4807246376811594,0.16242979385427123,0.3038590251451614,1.6494249704615147,0.0967391304347826,0.9200865249682313,2.5332647120294602,0.239808181241124,1.0,0.6313912009512486
msrs_iv,20,0.07021739130434783,0.12290419574830941,0.10031058673876377,0.03419061507009343,0.07445950559584956,0.4152717391304348,0.16456031715796254,0.3030008095005341,1.6667369864504458,0.09326086956521738,0.9255639095537539,2.682376839846531,0.23761860200996773,1.0,0.6492271105826397
msrs_iv,25,0.06865217391304347,0.1489623926863255,0.10889278958858235,0.03509213399907561,0.07961340027315054,0.36647826086956525,0.16684533580286628,0.30125764045173115,1.6882916515291384,0.08895652173913043,0.9287770265175949,2.7818709566102098,0.23787163929508304,1.0,0.6599286563614745
msrs_iv,30,0.0686231884057971,0.17721364345666668,0.11919378987738395,0.036970395113036104,0.08469134630420126,0.3289492753623188,0.1681681937911534,0.30027991939170656,1.7109229787754947,0.08663043478260869,0.9300702725490988,2.8550831917260404,0.23916657533420077,1.0,0.6694411414982164
